cinema_treasures_id,cinema_treasures_url,name,borough,street_address,city,state,zip,full_address,latitude,longitude,status,showing_movies,status_facts,status_raw,screens,seats,year_opened_guess,year_closed_guess,borough_source,data_quality_flags,fetch_error
11779,https://cinematreasures.org/theaters/11779,Carlton Theatre,Manhattan,2633 Broadway,New York,NY,10025,"2633 Broadway, New York, NY 10025",40.797226,-73.970676,Demolished,,Closed;Demolished,closed,1,592,,,detail_city,no_year_opened;no_year_closed,
13592,https://cinematreasures.org/theaters/13592,Carmine Theatre,Manhattan,25 Carmine Street,New York,NY,10014,"25 Carmine Street, New York, NY 10014",40.7302183,-74.0028634,Demolished,,Closed;Demolished,closed,1,600,,,detail_city,no_year_opened;no_year_closed,
6011,https://cinematreasures.org/theaters/6011,Carnegie Hall Cinema,Manhattan,881 7th Avenue,New York,NY,10019,"881 7th Avenue, New York, NY 10019",40.765016,-73.9799,Open,,Open,open,2,325,1961,1997,detail_city,,
55800,https://cinematreasures.org/theaters/55800,Casino Theatre,Manhattan,144 2nd Avenue,New York,NY,10003,"144 2nd Avenue, New York, NY 10003",40.7295553,-73.9869685,Closed,,Closed,closed,1,600,,,detail_city,no_year_opened;no_year_closed,
43570,https://cinematreasures.org/theaters/43570,Casino Theatre,Manhattan,2175 3rd Avenue,New York,NY,10035,"2175 3rd Avenue, New York, NY 10035",40.799465,-73.9384929,Closed,,Closed,closed,1,,,,detail_city,no_seats;no_year_opened;no_year_closed,
564,https://cinematreasures.org/theaters/564,Center Theatre,Manhattan,1236 6th Avenue,New York,NY,10020,"1236 6th Avenue, New York, NY 10020",40.7589913,-73.9807626,Demolished,,Closed;Demolished,closed,1,3510,1940,,detail_city,no_year_closed,
44319,https://cinematreasures.org/theaters/44319,Central Park Theatre,Manhattan,932 7th Avenue,New York,NY,10019,"932 7th Avenue, New York, NY 10019",40.7663635,-73.9794643,Demolished,,Closed;Demolished,closed,1,1800,1921,,detail_city,no_year_closed,
31846,https://cinematreasures.org/theaters/31846,Central Theatre,Manhattan,771 9th Avenue,New York,NY,10019,"771 9th Avenue, New York, NY 10019",40.764648,-73.98851,Closed,,Closed,closed,1,450,1921,,detail_city,no_year_closed,
6017,https://cinematreasures.org/theaters/6017,Charles Theatre,Manhattan,193 Avenue B,New York,NY,10009,"193 Avenue B, New York, NY 10009",40.728068,-73.979004,Demolished,,Closed;Demolished,closed,1,595,,,detail_city,no_year_opened;no_year_closed,
10760,https://cinematreasures.org/theaters/10760,Chelsea Theatre,Manhattan,312 8th Avenue,New York,NY,10001,"312 8th Avenue, New York, NY 10001",40.7469146,-73.997283,Demolished,,Closed;Demolished,closed,1,750,,,detail_city,no_year_opened;no_year_closed,
8362,https://cinematreasures.org/theaters/8362,Chuan Kung Music Palace Theatre,Manhattan,91-93 Bowery,New York,NY,10002,"91-93 Bowery, New York, NY 10002",40.717041,-73.995171,Demolished,,Closed;Demolished,closed,1,546,,,detail_city,no_year_opened;no_year_closed,
8428,https://cinematreasures.org/theaters/8428,Cine 42,Manhattan,216 W. 42nd Street,New York,NY,10036,"216 W. 42nd Street, New York, NY 10036",40.7561279,-73.987892,Closed,,Closed,closed,2,446,,1992,detail_city,no_year_opened,
17159,https://cinematreasures.org/theaters/17159,Cine Lido,Manhattan,200 W. 48th Street,New York,NY,10036,"200 W. 48th Street, New York, NY 10036",40.7598972,-73.9843576,Demolished,,Closed;Demolished,closed,1,575,,,detail_city,no_year_opened;no_year_closed,
1075,https://cinematreasures.org/theaters/1075,"Cinema 1, 2 & 3 by Angelika",Manhattan,1001 3rd Avenue,New York,NY,10021,"1001 3rd Avenue, New York, NY 10021",40.761805,-73.966227,Open,1,Open (Showing movies),open,3,332,1962,,detail_city,,
31602,https://cinematreasures.org/theaters/31602,Cinema 14,Manhattan,133 3rd Avenue,New York,NY,10003,"133 3rd Avenue, New York, NY 10003",40.7333914,-73.9872449,Closed,,Closed,closed,1,80,,,detail_city,no_year_opened;no_year_closed,
6461,https://cinematreasures.org/theaters/6461,Cinema 3,Manhattan,2 W. 59th Street,New York,NY,10019,"2 W. 59th Street, New York, NY 10019",40.7645743,-73.9736767,Closed,,Closed,closed,1,212,1977,1997,detail_city,,
37638,https://cinematreasures.org/theaters/37638,Cinema 49,Manhattan,235 W. 49th Street,New York,NY,10019,"235 W. 49th Street, New York, NY 10019",40.761456,-73.986041,Demolished,,Closed;Demolished,closed,1,750,,1940,detail_city,no_year_opened,
12878,https://cinematreasures.org/theaters/12878,Cinema Luna,Manhattan,202 Canal Street,New York,NY,10013,"202 Canal Street, New York, NY 10013",40.716791,-73.99857,Demolished,,Closed;Demolished,closed,1,,,,detail_city,no_seats;no_year_opened;no_year_closed,
6498,https://cinematreasures.org/theaters/6498,Cinema Studio 1 & 2,Manhattan,1931 Broadway,New York,NY,10023,"1931 Broadway, New York, NY 10023",40.7728976,-73.9823383,Demolished,,Closed;Demolished,closed,2,480,1919,1990,detail_city,,
2079,https://cinematreasures.org/theaters/2079,Cinema Village,Manhattan,22 E. 12th Street,New York,NY,10003,"22 E. 12th Street, New York, NY 10003",40.7340962,-73.9933545,Open,1,Open (Showing movies),open,3,287,1964,,detail_city,,
13816,https://cinematreasures.org/theaters/13816,Cinepolis Chelsea Cinemas,Manhattan,260 W. 23rd Street,New York,NY,10011,"260 W. 23rd Street, New York, NY 10011",40.744947,-73.997971,Demolished,,Closed;Demolished,closed,9,768,,2023,detail_city,no_year_opened,
16383,https://cinematreasures.org/theaters/16383,Circle in the Square Theatre,Manhattan,159 Bleecker Street,New York,NY,10012,"159 Bleecker Street, New York, NY 10012",40.728748,-73.999832,Closed,,Closed,closed,1,598,,,detail_city,no_year_opened;no_year_closed,
2935,https://cinematreasures.org/theaters/2935,Circle Theatre,Manhattan,1825 Broadway,New York,NY,10023,"1825 Broadway, New York, NY 10023",40.7686087,-73.9821826,Demolished,,Closed;Demolished,closed,1,1671,1901,1901,detail_city,,
12546,https://cinematreasures.org/theaters/12546,Circus Cinema,Manhattan,1604 Broadway,New York,NY,10019,"1604 Broadway, New York, NY 10019",40.760461,-73.984245,Demolished,,Closed;Demolished,closed,2,652,1923,1996,detail_city,,
8002,https://cinematreasures.org/theaters/8002,City Hall Theatre,Manhattan,31-32 Park Row,New York,NY,10038,"31-32 Park Row, New York, NY 10038",40.7115005,-74.0072923,Demolished,,Closed;Demolished,closed,1,535,,1946,detail_city,no_year_opened,
1326,https://cinematreasures.org/theaters/1326,City Theatre,Manhattan,114 E. 14th Street,New York,NY,10003,"114 E. 14th Street, New York, NY 10003",40.7340231,-73.9889905,Demolished,,Closed;Demolished,closed,1,1855,,1952,detail_city,no_year_opened,
52282,https://cinematreasures.org/theaters/52282,Civic Repertory Theatre,Manhattan,107 W. 14th Street,New York,NY,10011,"107 W. 14th Street, New York, NY 10011",40.7376267,-73.9974197,Demolished,,Closed;Demolished,closed,1,1400,,,detail_city,no_year_opened;no_year_closed,
14665,https://cinematreasures.org/theaters/14665,Claremont Theatre,Manhattan,3338 Broadway,New York,NY,10031,"3338 Broadway, New York, NY 10031",40.8202098,-73.95487,Closed,,Closed,closed,1,1350,,1933,detail_city,no_year_opened,
16091,https://cinematreasures.org/theaters/16091,Clifton Theatre,Manhattan,1034 2nd Avenue,New York,NY,10022,"1034 2nd Avenue, New York, NY 10022",40.757338,-73.966179,Demolished,,Closed;Demolished,closed,1,560,,,detail_city,no_year_opened;no_year_closed,
13560,https://cinematreasures.org/theaters/13560,Clinton Theatre,Manhattan,80-82 Clinton Street,New York,NY,10002,"80-82 Clinton Street, New York, NY 10002",40.7186938,-73.9851638,Closed,,Closed,closed,1,1262,1919,1949,detail_city,,
15139,https://cinematreasures.org/theaters/15139,CMX New York East 62nd Street,Manhattan,400 E. 62nd Street,New York,NY,10021,"400 E. 62nd Street, New York, NY 10021",40.761366,-73.960326,Closed,,Closed,closed,6,311,1991,2013,detail_city,,
526,https://cinematreasures.org/theaters/526,Coliseum Cinemas,Manhattan,4260-4261 Broadway,New York,NY,10033,"4260-4261 Broadway, New York, NY 10033",40.8506209,-73.935977,Demolished,,Closed;Demolished,closed,4,3462,1920,1989,detail_city,,
2943,https://cinematreasures.org/theaters/2943,Colonial Theatre,Manhattan,1887 Broadway,New York,NY,10023,"1887 Broadway, New York, NY 10023",40.7711934,-73.9822838,Demolished,,Closed;Demolished,closed,1,1293,1974,,detail_city,no_year_closed,
7680,https://cinematreasures.org/theaters/7680,Colon Theatre,Manhattan,504 Columbus Avenue,New York,NY,10024,"504 Columbus Avenue, New York, NY 10024",40.785367,-73.973275,Closed,,Closed,closed,1,600,1937,,detail_city,no_year_closed,
1402,https://cinematreasures.org/theaters/1402,Colony Theatre,Manhattan,1519 2nd Avenue,New York,NY,10075,"1519 2nd Avenue, New York, NY 10075",40.7732733,-73.9551479,Closed,,Closed,closed,1,886,,,detail_city,no_year_opened;no_year_closed,
6193,https://cinematreasures.org/theaters/6193,Columbia Cinema,Manhattan,2700 Broadway,New York,NY,10025,"2700 Broadway, New York, NY 10025",40.799116,-73.968038,Demolished,,Closed;Demolished,closed,1,610,,1993,detail_city,no_year_opened,
20946,https://cinematreasures.org/theaters/20946,Columbia Theatre,Manhattan,1324 Amsterdam Avenue,New York,NY,10027,"1324 Amsterdam Avenue, New York, NY 10027",40.8132638,-73.9563728,Demolished,,Closed;Demolished,closed,1,590,,,detail_city,no_year_opened;no_year_closed,
31859,https://cinematreasures.org/theaters/31859,Columbus Theatre,Manhattan,981 8th Avenue,New York,NY,10019,"981 8th Avenue, New York, NY 10019",40.7671801,-73.9825648,Demolished,,Closed;Demolished,closed,1,553,,1940,detail_city,no_year_opened,
8364,https://cinematreasures.org/theaters/8364,Cosmo Theatre,Manhattan,176 E. 116th Street,New York,NY,10029,"176 E. 116th Street, New York, NY 10029",40.797842,-73.940902,Closed,,Closed,closed,1,1150,1922,1983,detail_city,,
6937,https://cinematreasures.org/theaters/6937,Costello Theatre,Manhattan,23 Fort Washington Avenue,New York,NY,10032,"23 Fort Washington Avenue, New York, NY 10032",40.8359841,-73.9448969,Closed,,Closed,closed,1,585,1914,1952,detail_city,,
16481,https://cinematreasures.org/theaters/16481,Criterion Theatre,Manhattan,NE corner of Broadway and W. 44th Street,New York,NY,10036,"NE corner of Broadway and W. 44th Street, New York, NY 10036",40.7572862,-73.9858763,Demolished,,Closed;Demolished,closed,1,900,1914,1935,detail_city,,
